"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","PROKKA_11072017","PROKKA_11072017_DJ","PROKKA_11162017"
"yciC","","Putative metal chaperone YciC","3","3","1","5","207","","","","1205","1205","1205","vin_ca_02138","vin_dj_02137","vin01_02440"
"tatD","","3'-5' ssDNA/RNA exonuclease TatD","3","3","1","5","206","","","","812","812","812","vin_ca_02140","vin_dj_02139","vin01_02439"
"mltF_1","","Membrane-bound lytic murein transglycosylase F","3","3","1","5","205","","","","1427","1427","1427","vin_ca_02141","vin_dj_02140","vin01_02438"
"greB","","Transcription elongation factor GreB","3","3","1","5","203","","","","497","497","497","vin_ca_02143","vin_dj_02142","vin01_02436"
"group_1052","","hypothetical protein","3","3","1","5","202","","","","2501","2501","2501","vin_ca_02144","vin_dj_02143","vin01_02435"
"lolD_2","","Lipoprotein-releasing system ATP-binding protein LolD","3","3","1","5","201","","","","680","680","680","vin_ca_02145","vin_dj_02144","vin01_02434"
"group_1054","","hypothetical protein","3","3","1","5","199","","","","293","293","293","vin_ca_02147","vin_dj_02146","vin01_02432"
"ybiS","","putative L,D-transpeptidase YbiS","3","3","1","5","197","","","","953","956","954","vin_ca_02148","vin_dj_02147","vin01_02431"
"group_1056","","hypothetical protein","3","3","1","5","196","","","","251","251","251","vin_ca_02149","vin_dj_02148","vin01_02430"
"group_1057","","hypothetical protein","3","3","1","5","195","","","","272","272","272","vin_ca_02150","vin_dj_02149","vin01_02429"
"aroF_1","","Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive","3","3","1","5","194","","","","1076","1076","1076","vin_ca_02151","vin_dj_02150","vin01_02428"
"cysB","","HTH-type transcriptional regulator CysB","3","3","1","5","193","","","","974","974","974","vin_ca_02152","vin_dj_02151","vin01_02426"
"yddA","","Inner membrane ABC transporter ATP-binding protein YddA","3","3","1","5","4216","","","","1760","1826","1782","vin_ca_00662","vin_dj_00662","vin01_03524"
"cysH","","Phosphoadenosine phosphosulfate reductase","3","3","1","5","192","","","","734","734","734","vin_ca_02153","vin_dj_02152","vin01_02425"
"rimK_2","","Ribosomal protein S6--L-glutamate ligase","3","3","1","5","190","","","","983","986","985","vin_ca_02155","vin_dj_02154","vin01_02423"
"group_1062","","hypothetical protein","3","3","1","5","188","","","","1526","1526","1526","vin_ca_02156","vin_dj_02155","vin01_02422"
"gntR_3","","putative D-xylose utilization operon transcriptional repressor","3","3","1","5","185","","","","722","722","722","vin_ca_02158","vin_dj_02157","vin01_02420"
"prpC","","2-methylcitrate synthase","3","3","1","5","183","","","","1163","1163","1163","vin_ca_02160","vin_dj_02159","vin01_02418"
"acnM","","Aconitate hydratase A","3","3","1","5","182","","","","2603","2603","2603","vin_ca_02161","vin_dj_02160","vin01_02417"
"ppsR","","Phosphoenolpyruvate synthase regulatory protein","3","3","1","5","180","","","","818","818","818","vin_ca_02163","vin_dj_02162","vin01_02415"
"ppsA","","Phosphoenolpyruvate synthase","3","3","1","5","179","","","","2372","2375","2373","vin_ca_02164","vin_dj_02163","vin01_02414"
"group_1068","","Putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase","3","3","1","5","178","","","","488","488","488","vin_ca_02165","vin_dj_02164","vin01_02413"
"group_1069","","hypothetical protein","3","3","1","5","177","","","","245","245","245","vin_ca_02166","vin_dj_02165","vin01_02412"
"group_1070","","hypothetical protein","3","3","1","5","176","","","","824","824","824","vin_ca_02167","vin_dj_02166","vin01_02411"
"sigW","","ECF RNA polymerase sigma factor SigW","3","3","1","5","175","","","","626","626","626","vin_ca_02168","vin_dj_02167","vin01_02410"
"oprF_1","","Outer membrane porin F","3","3","1","5","174","","","","1055","1055","1055","vin_ca_02169","vin_dj_02168","vin01_02409"
"sumT","","Uroporphyrinogen-III C-methyltransferase","3","3","1","5","173","","","","737","737","737","vin_ca_02170","vin_dj_02169","vin01_02408"
"nasE","","Assimilatory nitrite reductase [NAD(P)H] small subunit","3","3","1","5","171","","","","326","326","326","vin_ca_02172","vin_dj_02171","vin01_02406"
"nasD","","Nitrite reductase [NAD(P)H]","3","3","1","5","170","","","","2450","2450","2450","vin_ca_02173","vin_dj_02172","vin01_02405"
"prkC","","Serine/threonine-protein kinase PrkC","3","3","1","5","169","","","","1673","1679","1677","vin_ca_02174","vin_dj_02173","vin01_02404"
"nasA_2","","Nitrate transporter","3","3","1","5","168","","","","1211","1211","1211","vin_ca_02175","vin_dj_02174","vin01_02403"
"alaC","","Glutamate-pyruvate aminotransferase AlaC","3","3","1","5","164","","","","1241","1241","1241","vin_ca_02179","vin_dj_02178","vin01_02399"
"group_1079","","hypothetical protein","3","3","1","5","162","","","","299","299","299","vin_ca_02180","vin_dj_02179","vin01_02398"
"msrQ","","Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ","3","3","1","5","4241","","","","602","602","602","vin_ca_00679","vin_dj_00679","vin01_03507"
"pdtaR","","putative transcriptional regulatory protein pdtaR","3","3","1","5","161","","","","578","578","578","vin_ca_02181","vin_dj_02180","vin01_02397"
"nrtA","","Nitrate transport protein NrtA","3","3","1","5","160","","","","1250","1250","1250","vin_ca_02182","vin_dj_02181","vin01_02396"
"acnB","","Aconitate hydratase B","3","3","1","5","7225","","","","2609","2654","2624","vin_ca_02183","vin_dj_02182","vin01_02395"
"group_1084","","hypothetical protein","3","3","1","5","7227","","","","602","602","602","vin_ca_02185","vin_dj_02184","vin01_02393"
"ppiB","","Peptidyl-prolyl cis-trans isomerase cyp18","3","3","1","5","7233","","","","494","494","494","vin_ca_02187","vin_dj_02186","vin01_02387"
"glnS","","Glutamine--tRNA ligase","3","3","1","5","7234","","","","1667","1673","1669","vin_ca_02188","vin_dj_02187","vin01_02386"
"folD","","Bifunctional protein FolD protein","3","3","1","5","7236","","","","854","854","854","vin_ca_02190","vin_dj_02189","vin01_02384"
"tig","","Trigger factor","3","3","1","5","7237","","","","1310","1310","1310","vin_ca_02194","vin_dj_02193","vin01_02380"
"lon_2","","Lon protease","3","3","1","5","7240","","","","2393","2393","2393","vin_ca_02197","vin_dj_02196","vin01_02377"
"phaC_2","","Poly(3-hydroxyalkanoate) polymerase subunit PhaC","3","3","1","5","7243","","","","1703","1703","1703","vin_ca_02199","vin_dj_02198","vin01_02375"
"phaA_1","","Acetyl-CoA acetyltransferase","3","3","1","5","7244","","","","1178","1178","1178","vin_ca_02200","vin_dj_02199","vin01_02374"
"phaB","","Acetoacetyl-CoA reductase","3","3","1","5","7246","","","","743","743","743","vin_ca_02201","vin_dj_02200","vin01_02373"
"group_1093","","hypothetical protein","3","3","1","5","7248","","","","560","563","561","vin_ca_02203","vin_dj_02202","vin01_02371"
"group_1094","","hypothetical protein","3","3","1","5","7249","","","","524","524","524","vin_ca_02204","vin_dj_02203","vin01_02370"
"folE","","GTP cyclohydrolase 1","3","3","1","5","7252","","","","545","545","545","vin_ca_02205","vin_dj_02204","vin01_02368"
"sttH_2","","Streptothricin hydrolase","3","3","1","5","7254","","","","593","593","593","vin_ca_02208","vin_dj_02207","vin01_02366"
"prmB","","50S ribosomal protein L3 glutamine methyltransferase","3","3","1","5","7256","","","","920","920","920","vin_ca_02209","vin_dj_02208","vin01_02365"
"aroC","","Chorismate synthase","3","3","1","5","7258","","","","1091","1091","1091","vin_ca_02211","vin_dj_02210","vin01_02363"
"hcaT","","putative 3-phenylpropionic acid transporter","3","3","1","5","7259","","","","1151","1151","1151","vin_ca_02212","vin_dj_02211","vin01_02362"
"msrP","","Protein-methionine-sulfoxide reductase catalytic subunit MsrP","3","3","1","5","4242","","","","1001","1010","1007","vin_ca_00680","vin_dj_00680","vin01_03506"
"mtnB","","Methylthioribulose-1-phosphate dehydratase","3","3","1","5","7260","","","","620","620","620","vin_ca_02213","vin_dj_02212","vin01_02361"
"mtnD","","Acireductone dioxygenase","3","3","1","5","7261","","","","545","545","545","vin_ca_02214","vin_dj_02213","vin01_02360"
"mtnC","","Enolase-phosphatase E1","3","3","1","5","7263","","","","683","683","683","vin_ca_02215","vin_dj_02214","vin01_02359"
"speE_2","","Polyamine aminopropyltransferase","3","3","1","5","7265","","","","860","860","860","vin_ca_02217","vin_dj_02216","vin01_02357"
"group_1104","","hypothetical protein","3","3","1","5","7267","","","","344","344","344","vin_ca_02218","vin_dj_02217","vin01_02356"
"group_1105","","hypothetical protein","3","3","1","5","7306","","","","887","890","889","vin_ca_02223","vin_dj_02222","vin01_02352"
"group_1106","","hypothetical protein","3","3","1","5","7168","","","","635","638","637","vin_ca_02285","vin_dj_02283","vin01_02036"
"kup","","Low affinity potassium transport system protein kup","3","3","1","5","7165","","","","1898","1898","1898","vin_ca_02288","vin_dj_02286","vin01_02041"
"epsJ_2","","hypothetical protein","3","3","1","5","3659","","","","533","1472","846","vin_ca_02293","vin_dj_02291","vin01_01823"
"nfsB","","Oxygen-insensitive NAD(P)H nitroreductase","3","3","1","5","7155","","","","653","653","653","vin_ca_02308","vin_dj_02306","vin01_02043"
"thlA","","Acetyl-CoA acetyltransferase","3","3","1","5","4244","","","","1187","1187","1187","vin_ca_00682","vin_dj_00682","vin01_03504"
"dmlR_10","","HTH-type transcriptional regulator DmlR","3","3","1","5","7154","","","","926","959","948","vin_ca_02309","vin_dj_02307","vin01_02044"
"acuI_2","","Acrylyl-CoA reductase AcuI","3","3","1","5","7153","","","","986","986","986","vin_ca_02310","vin_dj_02308","vin01_02045"
"group_1112","","hypothetical protein","3","3","1","5","7149","","","","767","830","809","vin_ca_02314","vin_dj_02312","vin01_02049"
"dauA_3","","C4-dicarboxylic acid transporter DauA","3","3","1","5","7124","","","","1658","1658","1658","vin_ca_02327","vin_dj_02325","vin01_02059"
"group_1114","","hypothetical protein","3","3","1","5","7123","","","","188","188","188","vin_ca_02328","vin_dj_02326","vin01_02060"
"gtaB","","UTP--glucose-1-phosphate uridylyltransferase","3","3","1","5","7122","","","","839","839","839","vin_ca_02329","vin_dj_02327","vin01_02062"
"gor","","Glutathione reductase","3","3","1","5","7118","","","","1358","1358","1358","vin_ca_02331","vin_dj_02329","vin01_02064"
"uvrY_2","","Response regulator UvrY","3","3","1","5","7116","","","","587","644","625","vin_ca_02334","vin_dj_02332","vin01_02067"
"uvrC","","UvrABC system protein C","3","3","1","5","7115","","","","1823","1826","1824","vin_ca_02335","vin_dj_02333","vin01_02068"
"pgsA","","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase","3","3","1","5","7114","","","","560","560","560","vin_ca_02336","vin_dj_02334","vin01_02069"
"dmdC_4","","3-methylmercaptopropionyl-CoA dehydrogenase","3","3","1","5","7056","","","","1775","1778","1776","vin_ca_02356","vin_dj_02354","vin01_02132"
"actP_2","","Cation/acetate symporter ActP","3","3","1","5","7050","","","","1664","1664","1664","vin_ca_02358","vin_dj_02356","vin01_02134"
"group_1122","","Long-chain-fatty-acid--CoA ligase","3","3","1","5","7048","","","","1622","1622","1622","vin_ca_02360","vin_dj_02358","vin01_02136"
"fixL","","Sensor protein FixL","3","3","1","5","7046","","","","1802","1811","1805","vin_ca_02361","vin_dj_02359","vin01_02137"
"tmoT","","Response regulator protein TmoT","3","3","1","5","7039","","","","638","686","670","vin_ca_02368","vin_dj_02366","vin01_02159"
"xerC_1","","Tyrosine recombinase XerC","3","3","1","5","7017","","","","1286","1292","1290","vin_ca_02399","vin_dj_02397","vin01_02167"
"xerC_2","","Tyrosine recombinase XerC","3","3","1","5","7015","","","","971","977","975","vin_ca_02401","vin_dj_02399","vin01_02179"
"group_1127","","Putative phosphoribosyl transferase","3","3","1","5","7013","","","","659","659","659","vin_ca_02402","vin_dj_02400","vin01_02181"
"groL_2","","60 kDa chaperonin","3","3","1","5","7005","","","","1613","1613","1613","vin_ca_02407","vin_dj_02405","vin01_02186"
"uspE_1","","Universal stress protein E","3","3","1","5","7003","","","","935","941","937","vin_ca_02408","vin_dj_02406","vin01_02187"
"pucA_1","","putative xanthine dehydrogenase subunit A","3","3","1","5","6997","","","","989","989","989","vin_ca_02411","vin_dj_02409","vin01_02191"
"iorB_1","","Membrane-bound aldehyde dehydrogenase [pyrroloquinoline-quinone]","3","3","1","5","6996","","","","2312","2312","2312","vin_ca_02412","vin_dj_02410","vin01_02192"
"iorA_1","","Isoquinoline 1-oxidoreductase subunit alpha","3","3","1","5","6995","","","","470","470","470","vin_ca_02413","vin_dj_02411","vin01_02193"
"gap3","","Glyceraldehyde-3-phosphate dehydrogenase 3","3","3","1","5","6983","","","","1004","1004","1004","vin_ca_02417","vin_dj_02415","vin01_02206"
"tyrR","","Transcriptional regulatory protein TyrR","3","3","1","5","6972","","","","1517","1535","1523","vin_ca_02422","vin_dj_02420","vin01_02214"
"gcvP_1","","Glycine dehydrogenase (decarboxylating)","3","3","1","5","1678","","","","2864","2864","2864","vin_ca_02428","vin_dj_02426","vin01_02215"
"gcvT_1","","Aminomethyltransferase","3","3","1","5","1680","","","","1124","1124","1124","vin_ca_02430","vin_dj_02428","vin01_02217"
"iorA_2","","Isoquinoline 1-oxidoreductase subunit alpha","3","3","1","5","1681","","","","458","458","458","vin_ca_02431","vin_dj_02429","vin01_02218"
"group_1138","iorB_1","Isoquinoline 1-oxidoreductase subunit beta","3","3","1","5","1682","","","","2240","2246","2242","vin_ca_02432","vin_dj_02430","vin01_02219"
"livF_2","","High-affinity branched-chain amino acid transport ATP-binding protein LivF","3","3","1","5","1683","","","","716","716","716","vin_ca_02433","vin_dj_02431","vin01_02220"
"group_114","","hypothetical protein","3","3","1","5","1041","","","","827","848","834","vin_ca_02024","vin_dj_02023","vin01_04532"
"glnQ_2","","Glutamine transport ATP-binding protein GlnQ","3","3","1","5","1684","","","","875","875","875","vin_ca_02434","vin_dj_02432","vin01_02221"
"group_1141","","hypothetical protein","3","3","1","5","1685","","","","1274","1283","1277","vin_ca_02435","vin_dj_02433","vin01_02222"
"livH_2","","High-affinity branched-chain amino acid transport system permease protein LivH","3","3","1","5","1686","","","","914","914","914","vin_ca_02436","vin_dj_02434","vin01_02223"
"livJ","","Leu/Ile/Val-binding protein","3","3","1","5","1689","","","","1115","1115","1115","vin_ca_02437","vin_dj_02435","vin01_02224"
"hutU","","Urocanate hydratase","3","3","1","5","1692","","","","1679","1679","1679","vin_ca_02440","vin_dj_02438","vin01_02227"
"group_1145","","hypothetical protein","3","3","1","5","1709","","","","455","455","455","vin_ca_02448","vin_dj_02446","vin01_02237"
"group_1146","","hypothetical protein","3","3","1","5","1711","","","","671","671","671","vin_ca_02450","vin_dj_02448","vin01_02239"
"hutH","","Histidine ammonia-lyase","3","3","1","5","1712","","","","1529","1529","1529","vin_ca_02451","vin_dj_02449","vin01_02240"
"ahpF","","Alkyl hydroperoxide reductase subunit F","3","3","1","5","1751","","","","1565","1565","1565","vin_ca_02454","vin_dj_02452","vin01_02243"
"kdgK","","2-dehydro-3-deoxygluconokinase","3","3","1","5","1659","","","","944","950","946","vin_ca_02508","vin_dj_02506","vin01_02264"
"tesE_1","","2-hydroxyhexa-2,4-dienoate hydratase","3","3","1","5","4367","","","","428","785","666","vin_ca_00794","vin_dj_00794","vin01_03395"
"ttuB_2","","Putative tartrate transporter","3","3","1","5","1658","","","","1298","1298","1298","vin_ca_02509","vin_dj_02507","vin01_02265"
"ghrB_1","","Glyoxylate/hydroxypyruvate reductase B","3","3","1","5","1657","","","","989","989","989","vin_ca_02510","vin_dj_02508","vin01_02266"
"fdhL","","Fructose dehydrogenase large subunit","3","3","1","5","1130","","","","590","1577","919","vin_ca_02517","vin_dj_02514","vin01_02277"
"group_1153","","hypothetical protein","3","3","1","5","1760","","","","1373","1373","1373","vin_ca_02525","vin_dj_02522","vin01_02252"
"topB","","DNA topoisomerase 3","3","3","1","5","1767","","","","1943","1946","1944","vin_ca_02532","vin_dj_02529","vin01_02305"
"eda_2","","2-dehydro-3-deoxy-phosphogluconate aldolase","3","3","1","5","7341","","","","689","689","689","vin_ca_02538","vin_dj_02535","vin01_02312"
"hexR_3","","HTH-type transcriptional regulator HexR","3","3","1","5","7339","","","","869","869","869","vin_ca_02540","vin_dj_02537","vin01_02315"
"gntR_4","","HTH-type transcriptional regulator GntR","3","3","1","5","7338","","","","1031","1031","1031","vin_ca_02542","vin_dj_02539","vin01_02317"
"group_1158","","hypothetical protein","3","3","1","5","7327","","","","296","296","296","vin_ca_02556","vin_dj_02553","vin01_02328"
"group_1159","","hypothetical protein","3","3","1","5","7325","","","","452","452","452","vin_ca_02557","vin_dj_02554","vin01_02329"
"cobN","","Aerobic cobaltochelatase subunit CobN","3","3","1","5","7324","","","","4298","4298","4298","vin_ca_02558","vin_dj_02555","vin01_02330"
"sir","","Sulfite reductase [ferredoxin]","3","3","1","5","7321","","","","1658","1658","1658","vin_ca_02562","vin_dj_02559","vin01_02333"
"group_1162","","hypothetical protein","3","3","1","5","7318","","","","497","497","497","vin_ca_02563","vin_dj_02560","vin01_02334"
"sohB","","putative protease SohB","3","3","1","5","7316","","","","1028","1028","1028","vin_ca_02565","vin_dj_02562","vin01_02335"
"group_1164","","hypothetical protein","3","3","1","5","7314","","","","314","314","314","vin_ca_02567","vin_dj_02564","vin01_02337"
"treS","","Trehalose synthase/amylase TreS","3","3","1","5","7183","","","","3326","3326","3326","vin_ca_02610","vin_dj_02607","vin01_02024"
"glgE1","","Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase 1","3","3","1","5","5133","","","","2003","2012","2006","vin_ca_02611","vin_dj_02608","vin01_02023"
"group_1167","","hypothetical protein","3","3","1","5","5125","","","","161","161","161","vin_ca_02620","vin_dj_02616","vin01_02022"
"yccA","","Modulator of FtsH protease YccA","3","3","1","5","5124","","","","671","671","671","vin_ca_02621","vin_dj_02617","vin01_02021"
"dsrF","","Intracellular sulfur oxidation protein DsrF","3","3","1","5","5122","","","","359","359","359","vin_ca_02623","vin_dj_02619","vin01_02019"
"mhpE_1","","4-hydroxy-2-oxovalerate aldolase","3","3","1","5","4377","","","","1049","1049","1049","vin_ca_00801","vin_dj_00801","vin01_03387"
"trpD_1","","Anthranilate phosphoribosyltransferase","3","3","1","5","5119","","","","986","986","986","vin_ca_02626","vin_dj_02622","vin01_02016"
"cysG","","Siroheme synthase","3","3","1","5","5116","","","","1394","1394","1394","vin_ca_02627","vin_dj_02623","vin01_02015"
"serS","","Serine--tRNA ligase","3","3","1","5","5115","","","","1280","1280","1280","vin_ca_02628","vin_dj_02624","vin01_02014"
"crcB","","Putative fluoride ion transporter CrcB","3","3","1","5","5114","","","","374","374","374","vin_ca_02629","vin_dj_02625","vin01_02013"
"rarA","","Replication-associated recombination protein A","3","3","1","5","5113","","","","1325","1325","1325","vin_ca_02630","vin_dj_02626","vin01_02012"
"lolA","","Outer-membrane lipoprotein carrier protein","3","3","1","5","5112","","","","623","623","623","vin_ca_02631","vin_dj_02627","vin01_02011"
"group_1176","","Glucosaminate ammonia-lyase","3","3","1","5","5110","","","","947","947","947","vin_ca_02633","vin_dj_02629","vin01_02009"
"ate","","Putative arginyl-tRNA--protein transferase","3","3","1","5","5107","","","","707","707","707","vin_ca_02635","vin_dj_02631","vin01_02007"
"clpA","","ATP-dependent Clp protease ATP-binding subunit ClpA","3","3","1","5","5105","","","","2270","2270","2270","vin_ca_02637","vin_dj_02633","vin01_02005"
"clpS","","ATP-dependent Clp protease adapter protein ClpS","3","3","1","5","5104","","","","245","362","323","vin_ca_02638","vin_dj_02634","vin01_02004"
"cspD","","Cold shock-like protein CspD","3","3","1","5","5103","","","","278","278","278","vin_ca_02639","vin_dj_02635","vin01_02003"
"icd","","Isocitrate dehydrogenase [NADP]","3","3","1","5","5102","","","","2225","2225","2225","vin_ca_02640","vin_dj_02636","vin01_02002"
"mnmA","","tRNA-specific 2-thiouridylase MnmA","3","3","1","5","5098","","","","1118","1118","1118","vin_ca_02644","vin_dj_02640","vin01_02000"
"hflD","","High frequency lysogenization protein HflD","3","3","1","5","5097","","","","623","623","623","vin_ca_02645","vin_dj_02641","vin01_01999"
"purB","","Adenylosuccinate lyase","3","3","1","5","5096","","","","1370","1370","1370","vin_ca_02646","vin_dj_02642","vin01_01998"
"roxA","","50S ribosomal protein L16 3-hydroxylase","3","3","1","5","5095","","","","1166","1166","1166","vin_ca_02647","vin_dj_02643","vin01_01997"
"group_1186","","Isocitrate lyase","3","3","1","5","5092","","","","1595","1595","1595","vin_ca_02650","vin_dj_02646","vin01_01994"
"ndhC","","NAD(P)H-quinone oxidoreductase subunit 3","3","3","1","5","5088","","","","413","413","413","vin_ca_02652","vin_dj_02648","vin01_01992"
"nuoC","","NADH-quinone oxidoreductase subunit C/D","3","3","1","5","5085","","","","1781","1781","1781","vin_ca_02654","vin_dj_02650","vin01_01990"
